,movement_start,movement_end
1,1128,1405
3,1723,1856
5,2159,2443
7,2749,3061
9,3344,3680
11,3954,4320
13,4619,4905
15,5177,5396
17,5733,6166
19,6442,6869
21,7261,7706
23,7953,8433
25,8850,9077
27,9407,9791
29,10134,10561
31,10888,11245
33,11541,11955
35,12272,12689
37,12968,13292
39,13565,13801
41,14072,14475
43,15623,15810
45,16217,16686
47,17076,17502
49,17812,18126
51,18350,18701
53,18991,19380
55,19689,20095
57,20359,20685
59,21039,21321
61,21675,21959
63,22224,22510
65,22727,23095
67,23378,23685
69,23993,24340
71,24646,25026
73,25286,25698
75,25992,26379
77,26653,26968
79,27255,27629
81,27892,28294
83,28476,28809
85,29155,29598
87,30031,30364
89,30633,30830
91,31161,31425
93,31714,32195
95,32509,32765
97,33012,33503
99,33793,34126
101,34470,34773
103,35014,35360
105,35732,36122
107,36558,36827
109,37152,37485
111,37800,38163
113,38518,38888
115,39210,39535
117,39790,40200
119,40498,40842
121,41267,41646
123,41985,42276
