,start,end
0,973,1096
1,1337,1677
2,1791,2018
3,2483,2624
4,2717,3199
5,3609,3842
6,4058,4466
7,4680,4820
8,4880,5094
9,5286,5588
10,6181,6557
11,6785,7067
12,7310,7430
13,7996,8120
14,8313,8651
15,8946,9591
16,9844,9982
17,10392,10755
18,11011,11188
19,11635,11762
20,12328,12481
21,13588,13978
22,14129,14258
23,14814,16064
24,16266,16996
25,17132,17251
26,17522,17811
27,17879,18294
28,18420,18544
29,18628,18903
30,19277,19529
31,19722,20294
32,20457,20993
33,21172,21604
34,21737,21872
35,22287,22421
36,22510,22717
37,22778,22895
38,22956,23376
39,23617,24152
40,24227,24591
41,24748,25227
42,25385,25508
43,25594,25900
44,26053,26179
45,26763,27190
46,27289,27454
47,27931,28441
48,28692,29141
49,29427,29948
50,30070,30197
51,30590,31097
52,31195,31331
53,31356,31920
54,32732,32971
55,33076,33202
56,33404,33760
57,33855,34430
58,34541,34993
59,35085,35210
60,35820,35939
61,36015,36463
62,36623,37110
63,37237,37778
64,38014,38475
65,38785,39123
66,39282,39420
67,39495,39765
68,39838,40498
69,40739,41174
70,41319,41448
71,42072,44270
72,44374,46139
73,46602,46735
74,47185,47466
75,47945,48148
76,48666,48928
77,49305,49506
78,49780,49897
79,50890,51147
