,movement_start,movement_end
0,768,925
2,1541,1671
4,1934,2086
6,2529,2703
8,3114,3266
10,3765,3920
12,4383,4540
14,4960,5115
16,5504,5672
18,6325,6439
20,6994,7183
22,7783,7920
24,8571,8723
26,9160,9301
28,9903,10079
30,10672,10848
32,11364,11531
34,12094,12244
36,12764,12956
38,13365,13555
40,13878,14039
42,14611,14807
44,15962,16185
46,16888,17045
48,17639,17800
50,18179,18340
52,18804,18968
54,19394,19675
56,20197,20363
58,20888,21030
60,21503,21670
62,22002,22158
64,22524,22695
66,23181,23350
68,23814,23984
70,24486,24640
72,25124,25269
74,25793,25950
76,26490,26647
78,27082,27233
80,27776,27890
82,28332,28466
84,29020,29150
86,29836,30014
88,30479,30630
90,31010,31150
92,31568,31717
94,32345,32507
96,32864,33002
98,33644,33791
100,34331,34456
102,34880,35007
104,35612,35729
106,36372,36530
108,36982,37143
110,37682,37798
112,38375,38499
114,38999,39159
116,39654,39783
118,40357,40491
120,41034,41220
122,41854,41967
124,42686,42902
125,44192,44406
