label,start,end
-2,943,1212
0,1213,1262
-1,1263,1475
1,1476,1479
-1,1480,1876
2,1877,1943
-1,1944,2312
3,2313,2435
-1,2436,2908
4,2959,3108
-1,3082,3566
5,3717,3766
-1,3725,4242
6,4243,4303
-1,4304,4974
7,5025,5174
-1,5173,5346
8,5847,5896
-1,5850,6235
9,6286,6435
-1,6423,6671
A,6672,6724
-1,6725,7104
B,7305,7354
-1,7319,7885
C,7886,7952
-1,7953,8225
D,8226,8274
-1,8275,8933
E,8934,9053
-1,9054,9836
F,9887,10036
-1,10081,10542
G,10743,10892
-1,10944,11392
H,11643,11692
-1,11653,12230
I,13281,13330
-1,13297,13455
J,13456,13506
-1,13507,13965
K,13966,14058
-1,14059,14805
L,15056,15205
-1,15654,15903
M,15904,15955
-1,15956,16401
N,16402,16525
-1,16526,17170
O,17171,17279
-1,17280,17790
P,17791,17907
-1,17908,18725
Q,18726,18825
-1,18826,18980
R,18981,19023
-1,19024,19178
S,20079,20228
-1,20260,20627
T,20628,20734
-1,20735,20910
U,20961,21110
-1,21520,22387
V,22388,22465
-1,22466,23256
W,23257,23320
-1,23321,24614
X,24615,24701
-1,24702,24884
Y,24885,24927
-1,24928,25482
Z,26033,26082
-1,26034,26198
a,27049,27098
-1,27057,27707
b,27958,28107
-1,28360,29101
c,29102,29242
-1,29243,29885
d,29886,29969
-1,29970,30121
e,30172,30321
-1,30745,31213
f,31214,31305
-1,31306,31456
g,31907,31956
-1,31926,32624
h,32625,32664
-1,32665,33529
i,33680,33729
-1,33686,34368
j,34369,34476
-1,34477,34631
k,34682,34831
-1,35281,35772
l,35923,35972
-1,35924,36369
m,36370,36506
-1,36507,37355
n,37356,37406
-1,37407,37815
o,37866,38015
-1,38222,38635
p,38686,38835
-1,38884,39350
q,39351,39498
-1,39499,39663
r,40064,40113
-1,40070,40225
s,40876,40925
-1,40882,41608
t,41609,41707
-1,41708,41858
u,41859,41912
-1,41913,42297
v,42398,42547
-1,42974,43831
w,43832,43927
-1,43928,44518
x,44519,44592
-1,44593,44749
y,44750,44798
-1,44799,45219
z,45420,45569
-1,45598,45995
-2,46196,46345
