,start,end
0,0,1110
1,1123,1377
2,1378,1398
3,1399,2103
4,2104,2155
5,2156,2639
6,2690,2839
7,2817,3370
8,3371,3402
9,3403,4139
10,4140,4235
11,4236,4809
12,4810,4854
13,4855,5565
14,5566,5666
15,5667,6289
16,6290,6342
17,6343,6827
18,6828,6880
19,6881,7012
20,8013,8062
21,8015,8415
22,8566,8615
23,8570,9260
24,9411,9560
25,9603,10192
26,10343,10392
27,10370,10835
28,10836,10947
29,10948,11097
30,11098,11137
31,11138,11622
32,11673,11822
33,11817,12458
34,12459,12506
35,12507,12641
36,12692,12841
37,13270,13433
38,13434,13465
39,13466,14009
40,14010,14116
41,14117,14769
42,14970,15019
43,14999,15605
44,15756,15805
45,15760,16419
46,16470,16619
47,17341,17810
48,17961,18010
49,17982,18931
50,18932,18972
51,18973,19123
52,19174,19323
53,19334,20315
54,20316,20348
55,20349,20846
56,20847,20899
57,20900,21050
58,21051,21087
59,21088,21605
60,21656,21805
61,21797,22396
62,22547,22596
63,22570,23228
64,23829,23978
65,24058,24783
66,24984,25033
67,24987,25134
68,25135,25200
69,25201,25507
70,25558,25707
71,25773,26129
72,26130,26177
73,26178,26482
74,26483,26539
75,26540,26954
76,27005,27154
77,27190,27657
78,27658,27798
79,27799,28508
80,28509,28644
81,28645,29417
82,29468,29617
83,29597,30279
84,30430,30479
85,30450,31175
86,31226,31375
87,31338,31937
88,32088,32137
89,32091,32828
90,33079,33228
91,33754,34525
92,34726,34775
93,34731,35669
94,35670,35757
95,35758,36475
96,36626,36675
97,36653,37273
98,37274,37316
99,37317,37446
100,38197,38246
101,38213,38918
102,39069,39118
103,39101,39616
104,39617,39728
105,39729,40014
106,40015,40078
107,40079,40569
108,40620,40769
109,40822,41384
110,41535,41584
111,41542,41721
112,42122,42271
113,42407,43146
114,43147,43269
115,43270,44127
116,44128,44204
117,44205,44361
118,45062,45211
119,45672,46516
120,46517,46601
121,46602,47307
122,47308,47414
123,47415,47565
124,47566,47620
125,47621,48105
126,48106,48255
127,48289,48428
128,48979,49028
129,48999,49786
130,49787,49923
131,49924,50601
132,50602,50653
133,50654,54222
