,0
0,829
1,1262
2,1816
3,2302
4,2977
5,3800
6,4225
7,4425
8,4737
9,5334
10,5902
11,6800
12,7030
13,7526
14,7818
15,8351
16,9203
17,9718
18,10464
19,11079
20,11864
21,12137
22,12627
23,13152
24,13700
25,13921
26,14200
27,15735
28,16628
29,17359
30,17965
31,18500
32,19484
33,19811
34,21226
35,21806
36,22351
37,23017
38,23503
39,24256
40,25618
41,26118
42,27400
43,28165
44,28581
45,29461
46,30146
47,30743
48,31246
49,31630
50,32006
51,32634
52,32920
53,33411
54,33923
55,34627
56,35155
57,36022
58,36410
59,36700
60,38046
61,38800
62,39361
63,40050
64,40634
65,41549
66,44396
