time(s),ax(g),ay(g),az(g),wx(deg/s),wy(deg/s),wz(deg/s),label_guodu,label_start
0,-0.0142,0.0034,0.9976,0.1831,-0.6104,0,0,0
0.005,-0.0117,-0.001,0.9907,0,0.3052,0,0,0
0.01,-0.0166,0.0034,0.9937,-0.1831,0.8545,-0.061,0,0
0.015,-0.0176,0.0005,0.9956,0.1221,-0.1831,-0.061,0,0
0.02,-0.0137,0.0024,0.9976,0.2441,-0.4272,-0.1221,0,0
0.025,-0.0117,0.002,0.9946,-0.061,0.061,0.061,0,0
0.03,-0.0161,0.0005,0.9941,-0.061,0.3052,0,0,0
0.035,-0.0161,0.002,0.9976,-0.061,0.061,0,0,0
0.04,-0.0142,0.0029,1.0005,0.061,-0.1221,0.061,0,0
0.045,-0.0161,0.002,0.9937,0,-0.061,0,0,0
0.05,-0.0156,0.0049,0.9946,0.1221,0.061,-0.1831,0,0
0.055,-0.0142,0.0024,0.9956,0,0.1221,0,0,0
0.06,-0.0122,0.0015,0.9946,0,0,-0.061,0,0
0.065,-0.0171,0.0005,0.9976,0,-0.061,0,0,0
0.07,-0.0146,0.0005,0.9937,0,0,0,0,0
0.075,-0.0142,0.0044,0.9956,0,0.1221,-0.061,0,0
0.08,-0.0146,0.0039,0.9961,0.061,0.061,0,0,0
0.085,-0.0137,0.0015,0.999,0,0.061,-0.1221,0,0
0.09,-0.0112,0.0034,0.9976,0,-0.1831,0,0,0
0.095,-0.0151,0.0015,0.9956,0,0,0.061,0,0
0.1,-0.0156,0.0034,0.9995,0,0,0,0,0
0.105,-0.0151,0.0024,0.9976,0,0.061,0,0,0
0.11,-0.0137,0.001,1.0005,0.061,-0.1221,-0.061,0,0
0.115,-0.0156,0.0059,0.9961,0,0,0,0,0
0.12,-0.0117,0.0039,0.9922,0.1221,-0.061,0,0,0
0.125,-0.0142,0.0024,0.9961,0.061,-0.061,0,0,0
0.13,-0.0122,0.002,0.9985,0,0.1221,-0.061,0,0
0.135,-0.0122,0.002,0.9946,0,0,-0.1221,0,0
0.14,-0.0181,0.002,0.9951,-0.061,0,-0.061,0,0
0.145,-0.0132,0.0024,0.9937,0,0.061,0,0,0
0.15,-0.0127,0.0005,0.998,0,0.061,0,0,0
0.155,-0.0137,0.0049,0.9966,-0.061,0.061,0,0,0
0.16,-0.0132,0.0054,0.9971,0.061,-0.061,0,0,0
0.165,-0.0156,0.002,0.999,0,0,0,0,0
0.17,-0.0132,0.0049,0.9985,-0.061,0,-0.061,0,0
0.175,-0.0146,-0.0005,0.9956,0,0.1221,-0.061,0,0
0.18,-0.0156,0.0005,0.9932,-0.061,0,0,0,0
0.185,-0.0142,0.0015,0.9966,0.1221,0,0.061,0,0
0.19,-0.0127,0.0024,0.9971,0,0,-0.1221,0,0
0.195,-0.0137,0.0034,0.9941,0,0.1221,0,0,0
0.2,-0.0127,0.0039,0.9946,0,0,-0.1221,0,0
0.205,-0.0146,0.0015,0.9951,0,0,0,0,0
0.21,-0.0142,0,0.9976,0,-0.061,0.061,0,0
0.215,-0.0146,0.0024,0.9956,0,0,0,0,0
0.22,-0.0132,0.0024,0.9951,-0.061,0,0.061,0,0
0.225,-0.0142,0.002,0.9966,0,0,0,0,0
0.23,-0.0132,0.0039,0.9961,-0.061,0.061,0.061,0,0
0.235,-0.0142,0.0034,0.9961,0,0,-0.061,0,0
0.24,-0.0132,0.0015,0.9961,-0.061,0,0,0,0
0.245,-0.0146,0.0034,0.9961,0,0,0,0,0
0.25,-0.0122,0.0015,0.9937,-0.061,0,0,0,0
0.255,-0.0137,0.001,0.9971,0,0.061,0.061,0,0
0.26,-0.0142,0.0029,0.9961,0,0.061,-0.061,0,0
0.265,-0.0142,0.002,0.9966,0.061,0,0,0,0
0.27,-0.0132,0.0049,0.9966,0.061,0,0,0,0
0.275,-0.0146,0.0034,0.9966,0.061,0.061,-0.1831,0,0
0.28,-0.0142,0.0029,0.9976,0.1221,0,0,0,0
0.285,-0.0146,0.0015,0.9985,0,0.061,0,0,0
0.29,-0.0151,0.0039,0.9966,0.061,0,0,0,0
0.295,-0.0132,0.0024,0.998,-0.061,0,0,0,0
