time(s),ax(g),ay(g),az(g),wx(deg/s),wy(deg/s),wz(deg/s)
0,-0.0156,0,1.002,-0.061,0,0
0.005,-0.0181,-0.0015,0.9976,-0.061,-0.061,0.061
0.01,-0.0181,-0.0015,0.9961,-0.1831,-0.1831,0
0.015,-0.0186,-0.0024,0.9985,0,-0.061,0
0.02,-0.0186,0,0.998,0,-0.061,0.061
0.025,-0.0186,0.0005,0.9985,-0.061,0,0.061
0.03,-0.0195,-0.0015,0.9937,0,0,0.061
0.035,-0.0176,-0.0005,0.9971,0,0,0
0.04,-0.0186,-0.001,0.9971,0,0,0
0.045,-0.0171,-0.0005,0.9951,-0.061,0,0.061
0.05,-0.0181,0.0005,0.9966,-0.061,0.061,-0.061
0.055,-0.0186,-0.0015,0.9961,0.1221,-0.061,0.061
0.06,-0.0186,-0.002,1,0,-0.061,-0.061
0.065,-0.0176,0.001,0.9976,0,-0.061,0.061
0.07,-0.022,-0.001,0.999,0,0,0
0.075,-0.0195,0.0005,0.9985,-0.061,-0.061,0
0.08,-0.019,-0.0015,0.9995,-0.1221,0,-0.061
0.085,-0.0195,0,0.999,-0.1221,0,0
0.09,-0.0205,0,0.9995,0,-0.1221,0.061
0.095,-0.0186,-0.001,0.9995,0.061,0.061,0
0.1,-0.02,0,0.9976,-0.1221,0.061,0
0.105,-0.0205,0.0005,0.9971,0,0,0
0.11,-0.0171,-0.0005,0.9971,-0.061,0,-0.061
0.115,-0.0195,-0.0015,0.9971,0,0,0.061
0.12,-0.0176,0.002,0.9995,0,0,0
0.125,-0.0171,0,0.9976,0,0,0
0.13,-0.019,0.0024,0.9956,-0.061,0.061,0
0.135,-0.0171,0,0.9976,0,0,0
0.14,-0.0176,0.001,0.9956,-0.1221,0,0
0.145,-0.0181,0.0024,0.9976,0,0,-0.1221
0.15,-0.0171,0.001,0.9951,-0.061,0.061,-0.061
0.155,-0.0205,0.0005,0.9946,0,-0.1221,0
0.16,-0.0151,-0.0005,0.9985,0,0,0
0.165,-0.0181,-0.001,0.9966,0,0,0.1221
0.17,-0.0161,-0.0015,0.9976,-0.1221,-0.061,0
0.175,-0.0181,0,0.9956,0.061,0,-0.061
0.18,-0.0156,0,0.9995,0,-0.061,0
0.185,-0.0161,0,0.9985,0,-0.061,0
0.19,-0.0181,-0.0005,0.9971,0,0,0
0.195,-0.0186,0,0.9966,0,0,-0.061
0.2,-0.02,-0.001,0.9985,-0.061,0,-0.061
0.205,-0.0161,0,0.998,-0.1221,0,0.061
0.21,-0.0186,0.0034,0.9941,0,0,0.1221
0.215,-0.0186,-0.0015,0.9971,0,0,0
0.22,-0.0171,-0.0015,0.998,0,0,0
0.225,-0.021,0.0015,0.9966,0,0,0
0.23,-0.0176,-0.002,0.999,0,0,-0.061
0.235,-0.0171,0.0005,0.998,-0.061,0.061,0
0.24,-0.0171,0,0.9956,0,0,-0.1221
0.245,-0.0181,0,0.9966,0,0.1221,0.061
0.25,-0.0181,-0.001,0.999,0,0,-0.061
0.255,-0.0161,-0.0015,0.9961,0,0,0.061
0.26,-0.0181,-0.0029,0.9985,0,0.061,0
0.265,-0.0181,-0.001,0.998,-0.1221,0,0
0.27,-0.0166,-0.0015,0.9951,0.061,0,0.061
0.275,-0.0181,-0.001,0.9985,-0.1831,0,0
0.28,-0.0176,0,0.9961,0,-0.061,0.1221
0.285,-0.0176,-0.0005,0.9966,0,0,0.061
0.29,-0.0205,0,0.998,0,0.061,0
0.295,-0.0176,0.001,0.9966,-0.061,0,0
0.3,-0.0166,-0.002,0.9966,0,0.061,0
0.305,-0.0181,-0.002,0.9985,0,0.1221,0
0.31,-0.0171,-0.0015,0.9971,0,-0.061,0
0.315,-0.0176,-0.0005,0.9946,-0.061,0,0
0.32,-0.0186,-0.002,0.9966,0,0,0
0.325,-0.0186,-0.001,0.999,0.061,0.1221,-0.061
0.33,-0.0186,-0.001,0.9971,0,-0.061,0.061
0.335,-0.019,0,0.9966,0,0.061,0
0.34,-0.019,-0.0005,0.9961,-0.1221,0.061,0.061
0.345,-0.019,0.001,0.9995,0.1221,0,0
0.35,-0.0186,-0.0015,0.9966,-0.061,0.1221,-0.1221
0.355,-0.019,0,0.9961,0,-0.061,0
0.36,-0.0195,0.0005,0.9941,0,-0.061,0
0.365,-0.0186,0.001,0.9951,0,0,0
0.37,-0.0176,0,0.9961,0,0,0
0.375,-0.019,-0.001,0.9985,0,0,0
0.38,-0.0166,0,0.9956,0,0,0
