,0
0,1457
1,1458
2,1459
3,1460
4,1461
5,1462
6,1463
7,1464
8,1465
9,1466
10,1467
11,1468
12,1469
13,1470
14,1471
15,1472
16,1473
17,1474
18,1475
19,1476
20,1477
21,1478
22,1479
23,1480
24,1481
25,1482
26,1483
27,1484
28,1485
29,1486
30,1487
31,1488
32,1489
33,1490
34,1491
35,1492
36,1493
37,1494
38,1495
39,1496
40,1497
41,1498
42,1499
43,1500
44,1501
45,1502
46,1503
47,1504
48,1505
49,1506
50,1507
51,1508
52,1509
53,1510
54,1511
55,1512
56,1513
57,1514
58,1515
59,1516
60,1517
61,1518
62,1519
63,1520
64,1521
65,1522
66,1523
67,1524
68,1525
69,1994
70,1995
71,1996
72,1997
73,1998
74,1999
75,2000
76,2001
77,2002
78,2003
79,2004
80,2005
81,2006
82,2007
83,2008
84,2009
85,2010
86,2011
87,2012
88,2013
89,2014
90,2015
91,2016
92,2017
93,2018
94,2019
95,2020
96,2021
97,2022
98,2023
99,2024
100,2025
101,2026
102,2027
103,2028
104,2029
105,2030
106,2031
107,2032
108,2033
109,2034
110,2035
111,2036
112,2037
113,2038
114,2039
115,2040
116,2041
117,2042
118,2043
119,2044
120,2045
121,2046
122,2047
123,2048
124,2049
125,2050
126,2051
127,2217
128,2218
129,2219
130,2220
131,2221
132,2222
133,2223
134,2224
135,2225
136,2226
137,2227
138,2228
139,2229
140,2230
141,2231
142,2232
143,2233
144,2234
145,2235
146,2236
147,2237
148,2238
149,2239
150,2240
151,2241
152,2242
153,2243
154,2244
155,2245
156,2246
157,2247
158,2248
159,2249
160,2250
161,2251
162,2252
163,2253
164,2254
165,2255
166,2256
167,2257
168,2258
169,2259
170,2703
171,2704
172,2705
173,2706
174,2707
175,2708
176,2709
177,2710
178,2711
179,2712
180,2713
181,2714
182,2715
183,2716
184,2717
185,2718
186,2719
187,2720
188,2721
189,2722
190,2723
191,2724
192,2725
193,2726
194,2727
195,2728
196,2729
197,2730
198,2731
199,2732
200,2733
201,2734
202,2735
203,2736
204,2737
205,2738
206,2739
207,2740
208,2741
209,2742
210,2743
211,2744
212,2745
213,2746
214,2747
215,2748
216,2749
217,2750
218,2751
219,2752
220,2753
221,2754
222,2755
223,2756
224,2757
225,2758
226,2759
227,2760
228,2761
229,2762
230,3160
231,3161
232,3162
233,3163
234,3164
235,3165
236,3166
237,3167
238,3168
239,3169
240,3170
241,3171
242,3172
243,3173
244,3174
245,3175
246,3176
247,3177
248,3178
249,3179
250,3180
251,3181
252,3182
253,3183
254,3184
255,3185
256,3186
257,3187
258,3188
259,3189
260,3190
261,3191
262,3192
263,3193
264,3194
265,3195
266,3196
267,3197
268,3198
269,3199
270,3200
271,3201
272,3202
273,3203
274,3204
275,3205
276,3206
277,3207
278,3208
279,3209
280,3210
281,3211
282,3212
283,3213
284,3214
285,3215
286,3339
287,3340
288,3341
289,3342
290,3343
291,3344
292,3345
293,3346
294,3347
295,3348
296,3349
297,3350
298,3351
299,3352
300,3353
301,3354
302,3355
303,3356
304,3357
305,3358
306,3359
307,3360
308,3361
309,3362
310,3363
311,3364
312,3365
313,3366
314,3367
315,3368
316,3369
317,3370
318,3371
319,3372
320,3373
321,3374
322,3375
323,3376
324,3377
325,3378
326,3379
327,3380
328,3381
329,3382
330,3383
331,3384
332,3385
333,3386
334,3387
335,3830
336,3831
337,3832
338,3833
339,3834
340,3835
341,3836
342,3837
343,3838
344,3839
345,3840
346,3841
347,3842
348,3843
349,3844
350,3845
351,3846
352,3847
353,3848
354,3849
355,3850
356,3851
357,3852
358,3853
359,3854
360,3855
361,3856
362,3857
363,3858
364,3859
365,3860
366,3861
367,3862
368,3863
369,3864
370,3865
371,3866
372,3867
373,3868
374,3869
375,3870
376,3871
377,3872
378,3873
379,3874
380,3875
381,3876
382,3877
383,3878
384,3879
385,3880
386,3881
387,4057
388,4058
389,4059
390,4060
391,4061
392,4062
393,4063
394,4064
395,4065
396,4066
397,4067
398,4068
399,4069
400,4070
401,4071
402,4072
403,4073
404,4074
405,4075
406,4076
407,4077
408,4078
409,4079
410,4080
411,4081
412,4082
413,4083
414,4084
415,4085
416,4086
417,4087
418,4088
419,4089
420,4090
421,4091
422,4092
423,4093
424,4094
425,4095
426,4096
427,4097
428,4098
429,4662
430,4663
431,4664
432,4665
433,4666
434,4667
435,4668
436,4669
437,4670
438,4671
439,4672
440,4673
441,4674
442,4675
443,4676
444,4677
445,4678
446,4679
447,4680
448,4681
449,4682
450,4683
451,4684
452,4685
453,4686
454,4687
455,4688
456,4689
457,4690
458,4691
459,4692
460,4693
461,4694
462,4695
463,4696
464,4697
465,4698
466,4699
467,4700
468,4701
469,4702
470,4703
471,4704
472,4705
473,4706
474,4707
475,4708
476,4709
477,4710
478,4711
479,4712
480,4713
481,4714
482,4715
483,4716
484,4717
485,4718
486,4719
487,4720
488,4721
489,4722
490,4723
491,4724
492,4725
493,4726
494,4813
495,4814
496,4815
497,4816
498,4817
499,4818
500,4819
501,4820
502,4821
503,4822
504,4823
505,4824
506,4825
507,4826
508,4827
509,4828
510,4829
511,4830
512,4831
513,4832
514,4833
515,4834
516,4835
517,4836
518,4837
519,4838
520,4839
521,4840
522,4841
523,4842
524,4843
525,4844
526,4845
527,4846
528,4847
529,4848
530,4849
531,4850
532,4851
533,4852
534,4853
535,4854
536,4855
537,4856
538,4857
539,4858
540,4859
541,4860
542,4861
543,4862
544,4863
545,4864
546,4865
547,4866
548,4867
549,4868
550,4869
551,4870
552,4871
553,5013
554,5014
555,5015
556,5016
557,5017
558,5018
559,5019
560,5020
561,5021
562,5022
563,5023
564,5024
565,5025
566,5026
567,5027
568,5028
569,5029
570,5030
571,5031
572,5032
573,5033
574,5034
575,5035
576,5036
577,5037
578,5038
579,5039
580,5040
581,5041
582,5042
583,5043
584,5044
585,5045
586,5046
587,5047
588,5048
589,5049
590,5050
591,5051
592,5052
593,5053
594,5054
595,5055
596,5056
597,5057
598,5058
599,5059
600,5060
601,5061
602,5062
603,5063
604,5064
605,5065
606,5066
607,5067
608,5068
609,5069
610,5070
611,5071
612,5072
613,5460
614,5461
615,5462
616,5463
617,5464
618,5465
619,5466
620,5467
621,5468
622,5469
623,5470
624,5471
625,5472
626,5473
627,5474
628,5475
629,5476
630,5477
631,5478
632,5479
633,5480
634,5481
635,5482
636,5483
637,5484
638,5485
639,5486
640,5487
641,5488
642,5489
643,5490
644,5491
645,5492
646,5493
647,5494
648,5495
649,5496
650,5497
651,5498
652,5499
653,5500
654,5501
655,5502
656,5503
657,5504
658,5505
659,5506
660,5507
661,5508
662,5509
663,5510
664,5511
665,5512
666,5513
667,5514
668,5515
669,5516
670,5517
671,5518
672,5519
673,5520
674,5521
675,5522
676,5676
677,5677
678,5678
679,5679
680,5680
681,5681
682,5682
683,5683
684,5684
685,5685
686,5686
687,5687
688,5688
689,5689
690,5690
691,5691
692,5692
693,5693
694,5694
695,5695
696,5696
697,5697
698,5698
699,5699
700,5700
701,5701
702,5702
703,5703
704,5704
705,5705
706,5706
707,5707
708,5708
709,5709
710,5710
711,5711
712,5712
713,5713
714,6212
715,6213
716,6214
717,6215
718,6216
719,6217
720,6218
721,6219
722,6220
723,6221
724,6222
725,6223
726,6224
727,6225
728,6226
729,6227
730,6228
731,6229
732,6230
733,6231
734,6232
735,6233
736,6234
737,6235
738,6236
739,6237
740,6238
741,6239
742,6240
743,6241
744,6242
745,6243
746,6244
747,6245
748,6246
749,6247
750,6248
751,6249
752,6250
753,6251
754,6252
755,6253
756,6254
757,6255
758,6256
759,6257
760,6258
761,6259
762,6260
763,6261
764,6262
765,6263
766,6264
767,6265
768,6266
769,6267
770,6268
771,6269
772,6270
773,6271
774,6272
775,6273
776,6274
777,6275
778,6276
779,6277
780,6278
781,6279
782,6280
783,6281
784,6340
785,6341
786,6342
787,6343
788,6344
789,6345
790,6346
791,6347
792,6348
793,6349
